Date,Open,High,Low,Close,Volume
26/04/2021,261.660004,262.440002,260.170013,261.549988,19763300
27/04/2021,261.579987,263.190002,260.119995,261.970001,31014200
28/04/2021,256.079987,256.540009,252.949997,254.559998,46903100
29/04/2021,255.460007,256.100006,249,252.509995,40589000
30/04/2021,249.740005,253.080002,249.600006,252.179993,30945100
03/05/2021,253.399994,254.350006,251.119995,251.860001,19626600
04/05/2021,250.970001,251.210007,245.759995,247.789993,32756100
05/05/2021,249.059998,249.5,245.820007,246.470001,21901300
06/05/2021,246.449997,249.860001,244.690002,249.729996,26491100
07/05/2021,252.149994,254.300003,251.169998,252.460007,27032900
10/05/2021,250.869995,251.729996,247.119995,247.179993,29299900
11/05/2021,244.550003,246.600006,242.570007,246.229996,33641600
12/05/2021,242.169998,244.380005,238.070007,239,36684400
13/05/2021,241.800003,245.600006,241.419998,243.029999,29624300
14/05/2021,245.580002,249.179993,245.490005,248.149994,23901100
17/05/2021,246.550003,246.589996,243.520004,245.179993,24970200
18/05/2021,246.270004,246.410004,242.899994,243.080002,20168000
19/05/2021,239.309998,243.229996,238.600006,243.119995,25739800
20/05/2021,243.960007,247.949997,243.860001,246.479996,21800700
21/05/2021,247.570007,248.330002,244.740005,245.169998,21863100
24/05/2021,247.789993,251.160004,247.509995,250.779999,21411500
25/05/2021,251.770004,252.75,250.820007,251.720001,17704300
26/05/2021,251.429993,252.940002,250.75,251.490005,17771600
27/05/2021,251.169998,251.479996,249.25,249.309998,24426200
28/05/2021,251,252.080002,249.559998,249.679993,18270200
01/06/2021,251.229996,251.289993,246.960007,247.399994,23213300
02/06/2021,248.130005,249.270004,245.839996,247.300003,19406700
03/06/2021,245.220001,246.339996,243,245.710007,25307700
